ward,type,location,year,est_cost,id,point_location,lat,long,query
3,Speed Indicator Signs,S STATE ST & E 18TH ST,2022,5500,40373,S STATE ST & E 18TH ST,41.8578197,-87.6272821,google
3,4 POD Cameras & 7 LPR on Existing Cameras: Various Locations,S STATE ST & E 31ST ST,2021,19544.5555555556,40347,S STATE ST & E 31ST ST,41.8382962,-87.6265929,google
3,Miscellaneous CDOT Projects,S STATE ST & E 43RD ST,2021,2500,2949,S STATE ST & E 43RD ST,41.8164929,-87.6262091,google
3,Sidewalk Menu,S STATE ST & E 54TH ST,2018,4320.48,2829,S STATE ST & E 54TH ST,41.7964703,-87.6258055,google
6,Miscellaneous CDOT Projects,S STATE ST & E 83RD ST,2022,5200,40513,S STATE ST & E 83RD ST,41.7436581,-87.6243226,google
6,Miscellaneous CDOT Projects,S STATE ST & E 87TH ST,2022,5200,40512,S STATE ST & E 87TH ST,41.7363139,-87.6241788,google
2,Traffic Signals,S STATE ST & E 8 ST,2008,8800,1473,S STATE ST & E 8th ST,41.8718153,-87.6276003,google
3,In-Road State Law Stop,S STATE ST & W 23RD ST,2012,550,2622,S STATE ST & W 23RD ST,41.8510813,-87.6270491,google
2,Traffic Signals,S STATE ST & W HARRISON ST,2006,40000,1025,S STATE ST & W HARRISON ST,41.8745746,-87.6275957,google
2,Miscellaneous Other,S STATE ST & W MADISON ST,2013,2800,1957,S STATE ST & W MADISON ST,41.8820487,-87.6278269,google
2,Traffic Signals,S STATE ST & W POLK ST,2008,8800,1472,S STATE ST & W POLK ST,41.8723046,-87.627469,google
42,Left-Turn Arrow Menu,S STATE ST & W RANDOLPH L ST,2012,5050,33883,S STATE ST & W RANDOLPH L ST,41.8844882,-87.627896,google
3,4 POD Cameras & 7 LPR on Existing Cameras: Various Locations,S STATE ST & W ROOSEVELT RD,2021,19544.5555555556,40352,S STATE ST & W ROOSEVELT RD,41.8674669,-87.627495,google
11,Viaduct Improvement Menu,S STEWART AVE & W 35TH ST,2017,15688.66,8594,S STEWART AVE & W 35TH ST,41.830417,-87.6728404,google
11,Viaduct Improvement Menu,S STEWART AVE & W 38TH ST,2017,52500,8597,S STEWART AVE & W 38TH ST,41.8249148,-87.6751219,google
5,In-Road State Law Stop for Pedestria,S STONY ISLAND AV & E 62 ST,2008,800,3814,S STONY ISLAND AV & E 62nd ST,41.782910419000075,-87.58651816099996,census
5,In-Road State Law Stop,S STONY ISLAND AVE & E 62ND ST,2014,950,4022,S STONY ISLAND AVE & E 62ND ST,41.782910419000075,-87.58651816099996,census
5,In-Road State Law Stop,S STONY ISLAND AVE & E 62ND ST,2015,600,4090,S STONY ISLAND AVE & E 62ND ST,41.782910419000075,-87.58651816099996,census
8,3 LPR on POD Cameras: 95th & S Stony Island; 92nd & S Constance; 93rd & S Dobson,S STONY ISLAND AVE & E 95TH ST,2021,10971,40600,S STONY ISLAND AVE & E 95TH ST,41.72234277600006,-87.58512325999999,census
8,3 POD Cameras: 93rd & S Dobson; 95th & South Stony Island; 92nd & S Constance,S STONY ISLAND AVE & E 95TH ST,2021,24776,40603,S STONY ISLAND AVE & E 95TH ST,41.72234277600006,-87.58512325999999,census
11,Concrete Alley Menu,S THROOP ST & S HILLOCK AVE,2021,33500,40797,S THROOP ST & S HILLOCK AVE,41.8463755,-87.6541391,google
2,Pole Painting,S THROOP ST & S LOOMIS ST,2010,200,1688,S THROOP ST & S LOOMIS ST,41.8569989,-87.6588529,google
11,2 POD CAMERAS,S THROOP ST & S LYMAN ST,2019,24776,40761,S THROOP ST & S LYMAN ST,41.8414556,-87.6523728,google
34,Street Cul-de-Sac Menu,S THROOP ST & W 105TH PL,2016,30807.94,27873,S THROOP ST & W 105TH PL,41.7031371,-87.6548743,google
34,Street Cul-de-Sac Menu,S THROOP ST & W 105TH PL,2017,8478.43,27917,S THROOP ST & W 105TH PL,41.7031371,-87.6548743,google
34,Street Cul-de-Sac Menu,S THROOP ST & W 106TH PL,2016,31497.33,27874,S THROOP ST & W 106TH PL,41.7013471,-87.6548352,google
34,Street Cul-de-Sac Menu,S THROOP ST & W 106TH PL,2017,8478.43,27916,S THROOP ST & W 106TH PL,41.7013471,-87.6548352,google
10,1 LPR w/o Camera NW Corner 130th and Torrence,S TORRENCE AVE & E 130TH ST,2022,27410,8002,S TORRENCE AVE & E 130TH ST,41.6591616,-87.5786743,google
9,Pavement Markings,S UNION AVE & W 127TH ST,2015,700,6672,S UNION AVE & W 127TH ST,41.6632761,-87.6390252,google
11,2 POD Cameras & 2 LPR on Existing Cameras: 18th & Union; Canalport & Emerald,S UNION AVE & W 18TH ST,2021,35747,40776,S UNION AVE & W 18TH ST,41.8575749,-87.6447921,google
34,Pavement Markings,S UNION AVE & W 98TH PL,2015,1100,27836,S UNION AVE & W 98TH PL,41.7151845,-87.6406281,google
5,In-Road State Law Stop,S UNIVERSITY AVE & E 55TH ST,2013,550,3991,S UNIVERSITY AVE & E 55TH ST,41.7950436,-87.5980971,google
3,Street Resurface Menu(1-5),S VERNON AVE & E 43 ST (4300 S)Dead End (4319 S),2011,19289,2612,S VERNON AVE & E 43rd ST (4300 S)Dead End (4319 S),41.8166447,-87.6152702,google
4,Pavement Markings Menu,S VINCENNES AV & E 37 ST,2010,400,3166,S VINCENNES AV & E 37th ST,41.8265877,-87.6118842,google
4,2 POD CAMERAS - 53rd/Blackstone & 37th/Vincennes,S VINCENNES AVE & E 37TH ST,2018,27011,40394,S VINCENNES AVE & E 37TH ST,41.8265877,-87.6118842,google
17,In-Road State Law Stop,S VINCENNES AVE & W 80TH ST,2015,600,14217,S VINCENNES AVE & W 80TH ST,41.74895443100007,-87.63469249099995,census
21,Viaduct Improvement Menu,S VINCENNES AVE & W 87TH ST,2016,39437.8,17098,S VINCENNES AVE & W 87TH ST,41.73605461200003,-87.64516831699996,census
21,Viaduct Improvement Menu,S VINCENNES AVE & W 87TH ST,2017,5562.2,17143,S VINCENNES AVE & W 87TH ST,41.73605461200003,-87.64516831699996,census
1,In-Road State Law Stop For Pedestrians Sign,s W DIV ISION ST & N PAULINA ST,2018,350,772,s W DIV ISION ST & N PAULINA ST,41.9032963,-87.6699345,google
1,In-Road State Law Stop For Pedestrians Sign Menu,s W DIVISION ST & N PAULINA ST,2017,350,717,s W DIVISION ST & N PAULINA ST,41.9032963,-87.6699345,google
1,In-Road State Law Stop For Pedestrians Sign Menu,s W DIVISION ST & N PAULINA ST,2017,350,722,s W DIVISION ST & N PAULINA ST,41.9032963,-87.6699345,google
1,In-Road State Law Stop For Pedestrians Sign Menu,s W DIVISION ST & N WOLCOTT AVE,2017,600,723,s W DIVISION ST & N WOLCOTT AVE,41.90323368700007,-87.67481900699994,census
2,In-Road State Law Stop For Pedestrians Sign,s W FUL LERTON AVE & N LAKEWOOD AVE,2018,350,2218,s W FUL LERTON AVE & N LAKEWOOD AVE,41.9252481,-87.6608861,google
35,In-Road State Law Stop For Pedestrians Sign,s W LAW RENCE AVE & N LAWNDALE AVE,2018,600,28720,s W LAW RENCE AVE & N LAWNDALE AVE,41.96832370300007,-87.72069396099994,census
35,In-Road State Law Stop For Pedestrians Sign,s W LAW RENCE AVE & N SPRINGFIELD AVE,2018,600,28721,s W LAW RENCE AVE & N SPRINGFIELD AVE,41.96826742500008,-87.72559420399995,census
1,In-Road State Law Stop For Pedestrians Sign Menu,s W MEDILL AVE & N MILWAUKEE AVE,2017,350,711,s W MEDILL AVE & N MILWAUKEE AVE,41.923835610000026,-87.69886597299995,census
1,In-Road State Law Stop For Pedestrians Sign Menu,s W MEDILL AVE & N MILWAUKEE AVE,2017,350,724,s W MEDILL AVE & N MILWAUKEE AVE,41.923835610000026,-87.69886597299995,census
3,LED Traffic Signal Upgrades & Pedestrian Countdown Signal,S WABASH AVE & E 24TH ST,2018,48000,2820,S WABASH AVE & E 24TH ST,41.849266700000044,-87.62541459099998,census
3,LED Traffic Signal Upgrades & Pedestrian Countdown Signal,S WABASH AVE & E 24TH ST,2019,61746,2856,S WABASH AVE & E 24TH ST,41.849266700000044,-87.62541459099998,census
3,1 POD Camera NE Corner of Cermack and Wabash,S WABASH AVE & E CERMAK RD,2021,24776,2930,S WABASH AVE & E CERMAK RD,41.85277606100004,-87.62549498899995,census
2,Pavement Markings,S WABASH AVE & E ROOSEVELT RD,2013,3700,1960,S WABASH AVE & E ROOSEVELT RD,41.867404,-87.6258145,google
11,Viaduct Improvement Menu,S WALLACE ST & W 40TH PL,2018,18000,8642,S WALLACE ST & W 40TH PL,41.8207807,-87.6409649,google
11,High Definition Camera Menu,S WALLACE ST & W 43RD ST,2016,27011,8541,S WALLACE ST & W 43RD ST,41.8162613,-87.6408578,google
12,1 POD Camera: 2326 S Washtenaw,S WASHTENAW AVE & W 23RD PL,2021,24776,9647,S WASHTENAW AVE & W 23RD PL,41.8492183,-87.6928803,google
12,Alley Apron Menu,S WASHTENAW AVE & W POPE JOHN PAUL II DR (4300 S),2011,25387,9170,S WASHTENAW AVE & W POPE JOHN PAUL II DR (4300 S),41.8154285,-87.7042633,google
25,1 PTZ Camera - Wells and Tan Court,S WELLS ST & S TAN CT,2021,24776,20806,S WELLS ST & S TAN CT,41.8557621,-87.6331396,google
11,High Definition Camera Menu,S WELLS ST & W 34TH ST,2016,27011,40718,S WELLS ST & W 34TH ST,41.83274094300003,-87.63275892499996,census
3,Alley Resurfacing Menu,S WELLS ST & W 57TH ST,2017,4381.27,40321,S WELLS ST & W 57TH ST,41.79088989600007,-87.63174189399996,census
42,Left-Turn Arrow Menu,S WELLS ST & W CHICAGO AVE,2012,20900,33882,S WELLS ST & W CHICAGO AVE,41.89659685300006,-87.63420206499995,census
25,Pavement Markings Menu,S WELLS ST & W CONGRESS PKWY,2017,400,20684,S WELLS ST & W CONGRESS PKWY,41.8756691,-87.6336548,google
3,4 POD Cameras & 7 LPR on Existing Cameras: Various Locations,S WELLS ST & W,2021,19544.5555555556,40354,S WELLS ST & W,41.8290381,-87.6326705,google
20,Viaduct Improvement Menu,S WENTWORTH AVE & W 63RD ST,2017,41182,16411,S WENTWORTH AVE & W 63RD ST,41.7800167,-87.6301527,google
3,4 POD Cameras & 7 LPR on Existing Cameras: Various Locations,S WENTWORTH AVE & W GARFIELD BLVD,2021,19544.5555555556,40353,S WENTWORTH AVE & W GARFIELD BLVD,41.7945465,-87.6305132,google
19,Chicago Park District,S WESTERN AVE & W 115TH ST,2014,30380,15657,S WESTERN AVE & W 115TH ST,41.6845176,-87.6808654,google
15,Traffic Signal Modernization Design Menu,S WESTERN AVE & W 48TH PL,2017,25000,12859,S WESTERN AVE & W 48TH PL,41.8056707,-87.6843529,google
25,1 - LPR/Existing Camera - NE Western & Cermak,S WESTERN AVE & W CERMAK RD,2022,10971,20847,S WESTERN AVE & W CERMAK RD,41.8520555,-87.6856182,google
16,Left-Turn Arrow Menu,S WESTERN AVE & W GARFIELD BLVD,2014,21650,13542,S WESTERN AVE & W GARFIELD BLVD,41.7938146,-87.6839746,google
15,Street Traffic Circle Menu,S WINCHESTER AVE & W 48TH ST,2018,12036.37,12895,S WINCHESTER AVE & W 48TH ST,41.806686,-87.6734295,google
18,Street Traffic Circles Menu,S WOLCOTT AV & W 84 ST,2008,15000,14673,S WOLCOTT AV & W 84th ST,41.7411535,-87.6704935,google
5,Sidewalk Menu,S WOODLAWN AVE & E 55TH ST,2017,5397.3,4126,S WOODLAWN AVE & E 55TH ST,41.7950601,-87.596557,google
20,Pedestrian Refuge Island Menu,S WOODLAWN AVE & S MINERVA AVE,2018,43221.87,16417,S WOODLAWN AVE & S MINERVA AVE,41.7787537,-87.5961654,google
21,Sidewalk Menu - Change Order,S. Laflin & W. 90 th St.,2009,2471,16751,S. Laflin & W. 90 th St.,41.7303614,-87.6604664,google
1,Schools,Sabin School Sculpture Art Project,2005,3750,95,Sabin School,41.9072052,-87.6830757,google
1,Schools,Sabin School Sculpture Art Project,2005,20000,96,Sabin School,41.9072052,-87.6830757,google
35,Miscellaneous-CDOT,Safe Kids Murphy School Pavement Markings,2010,16300,28391,Safe Kids Murphy School,41.9497364,-87.7170874,google
39,Chicago Park District,Eugene Field and Sauganash Park,2008,100000,31488,Sauganash Park,41.9882005,-87.7373095,google
39,POD Camera,5861 N. Kostner (Sauganash Park),2009,20000,31538,Sauganash Park,41.9882005,-87.7373095,google
39,Miscellaneous-CDOT,Saughnash Park,2009,6700,31517,Saughnash Park,41.9882005,-87.7373095,google
39,Miscellaneous Other,Saughnash,2012,264865,31627,Saughnash,41.9899768,-87.7425332,google
39,Miscellaneous Other,Saugnash Mural,2013,10000,31656,Saugnash Mural,41.9899768,-87.7425332,google
32,Schools,Savin school art project,2005,5000,25707,Savin school,NA,NA,google
36,Chicago Park District,Sayre Park,2008,100000,29217,Sayre Park,41.9208169,-87.7971244,google
40,Chicago Park District,Schreiber Park,2008,200000,32216,Schreiber Park,41.999398,-87.670083,google
19,Schools,Sctherland School,2006,60000,15351,Sctherland School,NA,NA,google
46,MONTROSE&CLARENDON; SE BROADWAY &W WILSON AVE; N HAZEL ST &  W MONTROSE AVE; N BROADWAY &  W SUNNYSIDE AVE,SE BROADWAY & W WILSON AVE,2022,30970,43324,SE BROADWAY & W WILSON AVE,41.965401245000066,-87.65747319299999,census
48,POD Camera,SE corner of Lawrence & Sheridan,2008,24000,38481,SE corner of Lawrence & Sheridan,41.9690866,-87.6548092,google
23,Schools,Security cameras at Byrne Elementary School,2007,5748,18157,Security cameras at Byrne Elementary School,41.7948196,-87.7910176,google
48,Schools,Senn Academy,2006,25000,38389,Senn Academy,41.9890128,-87.6667743,google
48,Schools,Senn High School,2005,400000,38359,Senn High School,41.9890128,-87.6667743,google
48,Schools,Senn Hih School,2006,350000,38390,Senn High School,41.9890128,-87.6667743,google
36,Chicago Park District,Shabbona Park Playground - 6935 W. Addison,2011,59422,29308,Shabbona Park,41.9427387,-87.8001607,google
36,Chicago Park District,Shabbona Park Plaground - 6935 W. Addison,2012,85301,29347,Shabbona Park,41.9427387,-87.8001607,google
36,Chicago Park District,Shabbona Park,2013,35277,29374,Shabbona Park,41.9427387,-87.8001607,google
46,POD Camera,Sheridan & Sunnyside,2011,20000,36962,Sheridan & Sunnyside,41.9636173,-87.6547747,google
48,POD Camera,Sheridan on lightpole North of Thorndale,2010,20000,38538,Sheridan on lightpole North of Thorndale,41.9901278,-87.6590417,google
25,Chicago Park District,Sheridan Park,2006,10000,20099,Sheridan Park,41.9655201,-87.6629672,google
25,Chicago Park District,Sheridan Park (also 2010 menu TPC=,2009,100000,20300,Sheridan Park,41.9655201,-87.6629672,google
25,Chicago Park District,Sheridan Park (also 2009 menu. TPC =,2010,100000,20444,Sheridan Park,41.9655201,-87.6629672,google
25,Chicago Park District,Sheridan Park (2009,2011,185000,20486,Sheridan Park,41.9655201,-87.6629672,google
25,Chicago Park District,Sheridan Park - 2012,2012,9724,20511,Sheridan Park,41.9655201,-87.6629672,google
25,Chicago Park District,Sheridan Park ($175276 2012 + $185000 2013 menu),2013,360276,20567,Sheridan Park,41.9655201,-87.6629672,google
5,Miscellaneous-Other,Shot Spotters,2009,167000,3902,Shot Spotters,NA,NA,google
1,Miscellaneous-CDOT,Sign Installation project,2005,8885,21,Sign Installation project,NA,NA,google
26,Chicago Park District,Smith Park,2007,50000,21017,Smith Park,41.893383300000004,-87.6895453,google
26,Chicago Park District,Smith Park,2007,100000,21019,Smith Park,41.893383300000004,-87.6895453,google
26,Chicago Park District,Smith Park - Bleachers,2011,25000,21210,Smith Park,41.893383300000004,-87.6895453,google
49,Miscellaneous-Other,Solar Powered Garbage Containers - 8 locations. TPC =,2010,41000,39267,Solar Powered Garbage Containers - 8 locations. TPC =,41.8847435,-87.6363389,google
49,Miscellaneous-Other,Solar Powered Garbage Containers- 8 locations (201,2011,2628,39308,Solar Powered Garbage Containers- 8 locations (201,NA,NA,google
48,Miscellaneous-CDOT,South Edgewater Study,2009,60000,38499,South Edgewater Study,41.9722542,-87.6595004,google
5,Chicago Park District,South Shore Cultural Center,2009,50370,3899,South Shore Cultural Center,41.7684565,-87.5636858,google
5,Chicago Park District,South Shore Cultural Center,2009,42000,3900,South Shore Cultural Center,41.7684565,-87.5636858,google
2,Miscellaneous-CDOT,Southwest corner of DMLKD & 31 st S,2009,1800,1485,Southwest corner of DMLKD & 31 st S,41.8394083,-87.6841242,google
23,Traffic Signals,SRRAGANSETT AV & W ARCHER AV,2009,12000,18316,SRRAGANSETT AV & W ARCHER AV,41.7923069,-87.7818106,google
23,Street Traffic Circles Menu,SSHVILLE AV & W 52 ST,2008,4751,18248,SSHVILLE AV & W 52nd ST,41.7977847,-87.7868393,google
23,Street Traffic Circles Menu,SSHVILLE AV & W 52 ST,2009,7653,18314,SSHVILLE AV & W 52nd ST,41.7977847,-87.7868393,google
11,Viaduct Improvement Menu,ST & S PRINCETON AVE,2021,8364.395,40814,ST & S PRINCETON AVE,41.7585643,-87.6320642,google
42,W. OHIO; FRANKLIN & CHICAGO MONTGOMERY WARD PARK,ST,2018,36014.6666666667,42966,ST,NA,NA,google
11,Miscellaneous-CDOT,Stark St fencing material & installation,2007,15545,8146,Stark St fencing material & installation,41.8458693,-87.6542629,google
23,Chicago Park District,Stars & Stripes Playground,2013,154112,18623,Stars & Stripes Playground,NA,NA,google
41,Schools,Stock School,2009,6000,33010,Stock School,42.0166487,-87.8143062,google
11,Miscellaneous-CDOT,Stockyard Truckers,2007,612,8148,Stockyard Truckers,41.8199706,-87.6453965,google
26,Schools,Stowe School - 2444 W. Wabansia,2011,20000,21214,Stowe School,41.91265,-87.7131022,google
43,Miscellaneous-CDOT,Street Lighting at Chicago Park District location,2010,45000,34618,Street Lighting at Chicago Park,41.9011353,-87.628022,google
4,Chicago Park District,Sumac Park Playground - 4201 S. Champlain,2012,150000,3255,Sumac Park,41.8184498,-87.6097667,google
32,Chicago Park District,Supera,2007,98750,42406,Supera,41.9184146,-87.6482409,google
28,POD Camera,Superior & Kilpatrick,2005,24000,22407,Superior & Kilpatrick,41.8940969,-87.7434732,google
48,Schools,Swift and Pierce schools,2007,155000,38450,Swift Elementary School,NA,NA,google
48,Schools,Swift School,2007,9945,38449,Swift School,41.9889983,-87.6585908,google
2,Miscellaneous Other,Temporary Parking signs in WEst Loop,2012,10000,1855,Temporary Parking signs in WEst Loop,41.8854407,-87.6627342,google
50,Chicago Park District,Thillens Stadium,2009,250000,39855,Thillens Stadium,41.9579921,-87.7257084,google
48,Alley Apron Menu,THORNDALE AVE & N KENMORE AVE 6149 N GLENWOOD AVE,2021,6360.115,43484,THORNDALE AVE & N KENMORE AVE 6149 N GLENWOOD AVE,41.9935915,-87.6565468,google
48,Miscellaneous-CDOT,Thorndale CTA Station (lighting),2010,31500,38530,Thorndale CTA Station (lighting),41.9901278,-87.6590417,google
25,POD Camera,Throop & 18,2007,28000,41655,Throop & 18,41.8519218,-87.6591109,google
10,Miscellaneous-Other,TIF Study Expansion - Calumet Marina,2009,20000,7475,TIF Study Expansion - Calumet Marina,NA,NA,google
20,Sidewalk Menu,TO & E 59 ST (5900 S),2013,30588,16254,TO & E 59th ST (5900 S),41.7876857,-87.606086,google
49,Miscellaneous Other,Touhy at RR (1600 W),2013,3228,39371,Touhy at RR (1600 W),41.8962924,-87.6675334,google
49,Chicago Park District,Touhy Park,2010,25000,39264,Touhy Park,42.0147467,-87.6737628,google
49,Chicago Park District,Touhy Park - playground replacment,2011,175000,39304,Touhy Park,42.0147467,-87.6737628,google
3,Miscellaneous-Other,Trash container at 35 th & Michigan,2011,800,2617,Trash container at 35 th & Michigan,41.8310445,-87.6232472,google
49,Miscellaneous-CDOT,Tree Gates at 7300 N Oakley,2006,18500,39092,Tree Gates at 7300 N Oakley,42.0143166,-87.6878798,google
24,Miscellaneous Other,Tree installation - 4043 W. Harrison St.,2012,539,19630,Tree installation - 4043 W. Harrison St.,41.8731002,-87.72717,google
44,Miscellaneous Other,Tree installation,2012,784,35537,Tree installation,NA,NA,google
3,Miscellaneous-Other,Tree Planting - 4239,2011,3300,2616,Tree Planting - 4239,NA,NA,google
19,Miscellaneous Other,Tree planting -2037 W. 108 th Pl,2012,515,15580,Tree planting -2037 W. 108 th Pl,41.6965365,-87.6730612,google
19,Miscellaneous-Other,Trees - Edna White Garden (TPC = $2058 2010 menu,2011,932,15548,Trees - Edna White Garden (TPC = $2058 2010 menu,41.6914669,-87.6678971,google
19,Miscellaneous-Other,Trees at the Edna White Garden,2010,1126,15506,Trees at the Edna White Garden,41.6914669,-87.6678971,google
3,Miscellaneous Other,Trees on MLK Drive (2012 installation),2013,963,2660,Trees on MLK Drive (2012 installation),NA,NA,google
2,Miscellaneous-Other,Trees on the public way,2011,82145,1843,Trees on the public way,41.7846804,-87.5872007,google
44,Miscellaneous-Other,Underpass at Belmont & Lake Shore Drive,2010,100000,35415,Underpass at Belmont & Lake Shore Drive,41.9401237,-87.6395418,google
46,Schools,Uplift Community High School,2009,5000,36909,Uplift Community High School,41.9659998,-87.6522014,google
46,Schools,Uplift High School -2 nd bricolage project,2009,228,36910,Uplift High School,41.9659998,-87.6522014,google
46,Schools,Uplift High School - 2 nd bricolage project,2010,10850,36919,Uplift High School,41.9659998,-87.6522014,google
42,Miscellaneous-CDOT,Upper Randolph & Field Blvd,2009,383500,33750,Upper Randolph & Field Blvd,41.8845342,-87.6173955,google
23,Chicago Park District,Construction of Valley Forge Field House,2009,300000,18317,Valley Forge Park,41.7842235,-87.7978232,google
23,Chicago Park District,Valley Forge Park,2010,220000,18447,Valley Forge Park,41.7842235,-87.7978232,google
23,Chicago Park District,Valley Forge Field House (2009-2012 ),2011,300000,18470,Valley Forge Park,41.7842235,-87.7978232,google
23,Chicago Park District,Valley Forge Park,2012,100000,18572,Valley Forge Park,41.7842235,-87.7978232,google
23,Chicago Park District,Valley Forge Park,2013,200000,18624,Valley Forge Park,41.7842235,-87.7978232,google
28,High Definition Camera,Van Buren & Kostner,2012,1800,22706,Van Buren & Kostner,41.8751357,-87.7352721,google
2,POD Camera,Van Buren & Washtenaw,2010,20000,1785,Van Buren & Washtenaw,41.8759989,-87.6937187,google
47,Miscellaneous Other,Various arterial Streets (in file) - Tree planting,2012,23765,37691,Various arterial Streets (in file) - Tree planting,NA,NA,google
5,Miscellaneous-Other,Various Chicago Public Art Group Projects,2011,10000,3978,Various Chicago Public Art Group Projects,41.8338879,-87.6512196,google
12,Street Lighting,VARIOUS LOCATIONS IN WARD,2008,2450,9061,VARIOUS LOCATIONS IN WARD,NA,NA,google
16,Miscellaneous-CDOT,Various locations- Decorative Waste Receptacles,2011,42716,13345,Various locations- Decorative Waste Receptacles,41.932642,-87.7567583,google
14,Sidewalk Menu - Change Order,various locations,2011,18476,11585,various locations,NA,NA,google
39,Tree Planting in Ward,various locations,2018,10000,31844,various locations,NA,NA,google
13,Model Block,Various Locations,2005,275000,9745,Various Locations,NA,NA,google
4,Miscellaneous-Other,Viaduct art Panel at 53 rd & 55 th St,2009,10500,3162,Viaduct art Panel at 53 rd & 55 th St,NA,NA,google
34,Street Light Upgrade,W 101ST PL & S ELIZABETH ST,2015,5000,27850,W 101ST PL & S ELIZABETH ST,41.7090312,-87.6537646,google
19,Pavement Markings Menu,W 101ST ST & S WESTERN AVE,2022,1500,15859,W 101ST ST & S WESTERN AVE,41.7100176,-87.6817197,google
19,Pavement Markings Menu,W 102ND PL & S PROSPECT AVE,2011,4044,15518,W 102ND PL & S PROSPECT AVE,41.70725211900003,-87.66212420199997,census
34,Street Resurfacing Menu,W 103RD PL & S CHARLES ST,2020,21008.55,28023,W 103RD PL & S CHARLES ST,41.7061744,-87.6583928,google
19,OEMC Camera Project Implementation,W 103RD ST & S WESTERN AVE,2021,160985.96,15830,W 103RD ST & S WESTERN AVE,41.7063262,-87.6816007,google
19,Street Resurfacing Menu,W 104TH PL & S MAPLEWOOD AVE,2017,20148.15,15742,W 104TH PL & S MAPLEWOOD AVE,41.70453467500005,-87.68527473399996,census
19,Guardrail Menu,W 105TH ST & S SPRINGFIELD AV (3900 W),2011,794,15517,W 105TH ST & S SPRINGFIELD AV (3900 W),41.702263,-87.7182993,google
34,Street Light Upgrade Menu,W 109TH PL & S VINCENNES AVE,2019,8000,27979,W 109TH PL & S VINCENNES AVE,41.6948725,-87.6614148,google
34,Street Resurfacing Menu,W 109TH PL & S VINCENNES AVE,2019,29204.65,27987,W 109TH PL & S VINCENNES AVE,41.6948725,-87.6614148,google
34,Traffic Signals,W 111 ST & S HALSTED ST,2008,11000,27436,W 111th ST & S HALSTED ST,41.6923515,-87.6423195,google
34,In-Road State Law Stop,W 111TH ST & S PERRY AVE,2014,550,27779,W 111TH ST & S PERRY AVE,41.6925476,-87.6258361,google
34,Miscellaneous CDOT Projects,W 111TH ST & S THROOP ST,2021,660,28032,W 111TH ST & S THROOP ST,41.69221372100003,-87.65453867499997,census
34,Traffic Signals,W 111 ST & S VINCENNES AV,2008,11000,27438,W 111th ST & S VINCENNES AV,41.69215744200005,-87.66331006899998,census
34,Street Traffic Circles Menu,W 112 ST & S RACINE AV,2009,6770,27519,W 112th ST & S RACINE AV,41.690420851000056,-87.65205036499998,census
34,Cul-de-sac,W 114TH PL & S LOOMIS ST,2018,7013.54,27939,W 114TH PL & S LOOMIS ST,41.685797981000064,-87.65676971199997,census
34,In-Road State Law Stop for Pedestria,W 114 ST & S PERRY AV,2010,410,27527,W 114th ST & S PERRY AV,41.6870996,-87.6256593,google
34,Traffic Signals,W 115 ST & S HALSTED ST,2008,11000,27437,W 115th ST & S HALSTED ST,41.6850809,-87.6422123,google
19,Chicago Park District,W 115TH ST & S WESTERN AVE,2013,123738,15613,W 115TH ST & S WESTERN AVE,41.6845176,-87.6808654,google
19,Curb & Gutter Menu,W 116TH ST & S ST LOUIS AVE,2017,10341.67,15720,W 116TH ST & S ST LOUIS AVE,41.68141228300004,-87.70774992399998,census
34,Sidewalk Menu,W 119TH ST & S ASHLAND AVE,2016,2560.015,42538,W 119TH ST & S ASHLAND AVE,41.67754515200005,-87.66136444399996,census
9,Alley Speed Hump Menu,W 125TH PL & S STATE ST,2019,1400,40623,W 125TH PL & S STATE ST,41.66634976600005,-87.62223083999999,census
9,Alley Speed Hump Menu,W 125TH ST & S STATE ST,2019,1400,40624,W 125TH ST & S STATE ST,41.66634976600005,-87.62223083999999,census
2,Street Lighting,W 13 ST & S THROOP ST,2010,1000,1719,W 13th ST & S THROOP ST,41.8651994,-87.6590859,google
24,1 POD Camera: 13th & Troy,W 13TH ST & S TROY ST,2020,24776,19863,W 13TH ST & S TROY ST,41.8645953,-87.7043792,google
24,POD Camera - 3 locations,W 13TH ST & S TROY ST,2018,27011,41619,W 13TH ST & S TROY ST,41.8645953,-87.7043792,google
11,2 POD CAMERAS,W 14TH PL & S MORGAN ST,2019,24776,40760,W 14TH PL & S MORGAN ST,41.8622786,-87.650909,google
2,Street Lighting,W 14 PL & S THROOP ST,2010,1000,1720,W 14th PL & S THROOP ST,41.8624772,-87.6589992,google
2,Pole Painting,W 14 ST & S ASHLAND AV,2009,2000,1494,W 14th ST & S ASHLAND AV,41.8632603,-87.6662872,google
2,Street Lighting,W 14 ST & S THROOP ST,2010,1000,1721,W 14th ST & S THROOP ST,41.863374,-87.6590203,google
11,Street Cul-de-Sac Menu,W 14TH ST & S UNION AVE,2021,31003.79,8737,W 14TH ST & S UNION AVE,41.863593,-87.6449994,google
11,Sidewalk Menu,W 15TH ST & S MORGAN ST,2018,35711.7,8620,W 15TH ST & S MORGAN ST,41.861663,-87.6508861,google
24,Bollard Menu,W 15TH ST & S TRIPP AVE,2018,1701.08,41618,W 15TH ST & S TRIPP AVE,41.860611,-87.7311266,google
